1.Avengers: Infinity War ,8.5
2.Avengers: Endgame ,0
3.Logan ,Rate
4.Captain America: Civil War ,1
5.Captain America: The Winter Soldier ,Rate
6.X-Men: Days of Future Past ,2
7.Iron Man ,Rate
8.Guardians of the Galaxy ,3
9.Spider-Man 2 ,Rate
10.The Avengers ,4
11.Deadpool ,Rate
12.X2 ,5
13.Spider-Man: Into the Spider-Verse ,Rate
14.Thor: Ragnarok ,6
15.X: First Class ,Rate
16.Avengers: Age of Ultron ,7
17.Guardians of the Galaxy Vol. 2 ,Rate
18.Doctor Strange ,8
19.Black Panther ,Rate
20.Spider-Man: Far from Home ,9
21.Big Hero 6 ,Rate
22.Spider-Man: Homecoming ,10
23.Deadpool 2 ,Rate
24.Captain Marvel ,8.5
25.Spider-Man ,0
26.Ant-Man ,Rate
27.Captain America: The First Avenger ,1
28.Thor ,Rate
29.X-Men ,2
30.Ant-Man and the Wasp ,Rate
31.Venom ,3
32.Blade ,Rate
33.Iron Man 2 ,4
34.The Incredible Hulk ,Rate
35.The Amazing Spider-Man ,5
36.Thor: The Dark World ,Rate
37.Iron Man Three ,6
38.The Wolverine ,Rate
39.X-Men: Apocalypse ,7
40.Blade II ,Rate
41.The Punisher ,8
42.Spider-Man 3 ,Rate
43.Punisher: War Zone ,9
44.X-Men: The Last Stand ,Rate
45.Hulk ,10
46.The Amazing Spider-Man 2 ,Rate
47.Fantastic Four ,8.1
48.4: Rise of the Silver Surfer ,0
49.X-Men Origins: Wolverine ,Rate
50.Blade: Trinity ,1
51.The Punisher ,Rate
52.Ghost Rider ,2
53.Ghost Rider: Spirit of Vengeance ,Rate
54.Howard the Duck ,3
55.Daredevil ,Rate
56.Elektra ,4
57.Fantastic Four ,Rate
